"","pValue","qValue","EffectSize","X.SB01.SA01.","significant","GeneName"
"A0A2H1A5J1","0.665165237882594","0.930789426764152","-0.198579441791017","SB01-SA01","Non significant","A0A2H1A5J1"
"A0A2H1A5J7","0.49430101796458","0.852305799358045","-0.345973219190213","SB01-SA01","Non significant","A0A2H1A5J7"
"A0A2H1A5P2","0.360695934262691","0.750732499366686","-0.281146493577769","SB01-SA01","Non significant","A0A2H1A5P2"
"A0A2H1A5Q8","0.0408321522754807","0.265710893579338","-0.589898639565337","SB01-SA01","Non significant","A0A2H1A5Q8"
"A0A2H1A5U7","0.145677186258714","0.497188469651937","-0.316946666493791","SB01-SA01","Non significant","A0A2H1A5U7"
"A0A2H1A5V9","0.503469792249621","0.858644845691172","0.147675781130662","SB01-SA01","Non significant","A0A2H1A5V9"
"A0A2H1A5X4","0.213527417533976","0.600082008623059","0.274425325916724","SB01-SA01","Non significant","A0A2H1A5X4"
"A0A2H1A5Z4","0.791861328083607","0.965015812905956","-0.129686453233088","SB01-SA01","Non significant","A0A2H1A5Z4"
"A0A2H1A5Z8","0.58222686063622","0.913315441546089","0.194956795608569","SB01-SA01","Non significant","A0A2H1A5Z8"
"A0A2H1A619","0.845392031265883","0.978984846083208","0.0717293439810476","SB01-SA01","Non significant","A0A2H1A619"
"A0A2H1A637","0.894420385165486","0.985267270034664","-0.0490619780173596","SB01-SA01","Non significant","A0A2H1A637"
"A0A2H1A660","0.234432066924762","0.628277939358361","0.384794019302158","SB01-SA01","Non significant","A0A2H1A660"
"A0A2H1A680","0.217015360889896","0.60064479211113","-0.361540356774025","SB01-SA01","Non significant","A0A2H1A680"
"A0A2H1A682","0.276563172407434","0.651799637482846","-0.439309383960133","SB01-SA01","Non significant","A0A2H1A682"
"A0A2H1A6A1","0.42084643770701","0.792929785812356","0.194526135726495","SB01-SA01","Non significant","A0A2H1A6A1"
"A0A2H1A6D8","0.538595510673442","0.877087828145293","-0.236187248366669","SB01-SA01","Non significant","A0A2H1A6D8"
"A0A2H1A6F6","0.0098172497057736","0.131551146057366","-0.86043187680826","SB01-SA01","Non significant","A0A2H1A6F6"
"A0A2H1A6G4","0.0123371913531808","0.152266914332679","0.885159077855953","SB01-SA01","Non significant","A0A2H1A6G4"
"A0A2H1A6I3","0.39416894341517","0.783525681999619","0.134299807601462","SB01-SA01","Non significant","A0A2H1A6I3"
"A0A2H1A6I6","0.276044577580627","0.651799637482846","0.368934923119394","SB01-SA01","Non significant","A0A2H1A6I6"
"A0A2H1A6K7","0.100789053368797","0.416093286969763","-0.422303221864784","SB01-SA01","Non significant","A0A2H1A6K7"
"A0A2H1A6M6","0.269129356369272","0.644647640837854","0.287439620090723","SB01-SA01","Non significant","A0A2H1A6M6"
"A0A2H1A6Q2","0.184479908243421","0.564570783559864","0.620199120415872","SB01-SA01","Non significant","A0A2H1A6Q2"
"A0A2H1A6S4","0.995785027673878","0.999198865057256","0.00180052259917218","SB01-SA01","Non significant","A0A2H1A6S4"
"A0A2H1A6S5","0.942872004949222","0.988881208343222","0.0343940098525728","SB01-SA01","Non significant","A0A2H1A6S5"
"A0A2H1A6V6","0.332365389771337","0.736588480442548","0.200604446210399","SB01-SA01","Non significant","A0A2H1A6V6"
"A0A2H1A6V9","0.279693583460817","0.652618361408574","0.450801841595496","SB01-SA01","Non significant","A0A2H1A6V9"
"A0A2H1A6W9","0.208099682670317","0.598903419662872","-0.527538667867763","SB01-SA01","Non significant","A0A2H1A6W9"
"A0A2H1A6Z0","0.185381451318164","0.564570783559864","-0.317862016811063","SB01-SA01","Non significant","A0A2H1A6Z0"
"A0A2H1A705","0.516041999154121","0.868236323160609","-0.27740890988391","SB01-SA01","Non significant","A0A2H1A705"
"A0A2H1A734","0.213675256801814","0.600082008623059","0.651125749163036","SB01-SA01","Non significant","A0A2H1A734"
"A0A2H1A738","0.0780622062134851","0.364928678896695","0.51733727794419","SB01-SA01","Non significant","A0A2H1A738"
"A0A2H1A739","0.922023228719995","0.988088124466984","0.0537601496918079","SB01-SA01","Non significant","A0A2H1A739"
"A0A2H1A743","0.00417553106096117","0.0890147303450358","-1.24768891810065","SB01-SA01","Non significant","A0A2H1A743"
"A0A2H1A747","0.121583164100664","0.463683087405048","-0.647769536443755","SB01-SA01","Non significant","A0A2H1A747"
"A0A2H1A763","0.766717811425441","0.964050009540299","0.0857872077253745","SB01-SA01","Non significant","A0A2H1A763"
"A0A2H1A772","0.131660521528984","0.474990650746873","0.393317684528387","SB01-SA01","Non significant","A0A2H1A772"
"A0A2H1A784","0.7824012161019","0.964303913771699","-0.128442192526252","SB01-SA01","Non significant","A0A2H1A784"
"A0A2H1A785","0.186609788349483","0.564645101521983","-0.632885980617042","SB01-SA01","Non significant","A0A2H1A785"
"A0A2H1A787","0.0219265775953861","0.197760863312232","-0.55575876582439","SB01-SA01","Non significant","A0A2H1A787"
"A0A2H1A7B1","0.00227151692346516","0.0665838398190724","-3.26028099837441","SB01-SA01","Non significant","A0A2H1A7B1"
"A0A2H1A7C7","0.115602743019244","0.453852379882213","0.512360884703618","SB01-SA01","Non significant","A0A2H1A7C7"
"A0A2H1A7D1","0.459893542462427","0.839260978268009","-0.43147191689674","SB01-SA01","Non significant","A0A2H1A7D1"
"A0A2H1A7E5","0.225205030511335","0.609401531909577","-0.704646015399319","SB01-SA01","Non significant","A0A2H1A7E5"
"A0A2H1A7F4","0.534861064194937","0.877087828145293","-0.142610908257963","SB01-SA01","Non significant","A0A2H1A7F4"
"A0A2H1A7F9","0.672788093119504","0.930789426764152","-0.0796835102358848","SB01-SA01","Non significant","A0A2H1A7F9"
"A0A2H1A7N8","0.0636957284619538","0.317801028177195","-0.823967062733093","SB01-SA01","Non significant","A0A2H1A7N8"
"A0A2H1A7P0","0.343121478969913","0.745018396467079","0.325754101842065","SB01-SA01","Non significant","A0A2H1A7P0"
"A0A2H1A7R2","0.163438286075543","0.521445960336257","0.798395997605502","SB01-SA01","Non significant","A0A2H1A7R2"
"A0A2H1A7R9","0.521515618015007","0.868236323160609","0.237217539858833","SB01-SA01","Non significant","A0A2H1A7R9"
"A0A2H1A7S4","0.195442523504174","0.56933256846868","0.362907867502173","SB01-SA01","Non significant","A0A2H1A7S4"
"A0A2H1A7S6","0.00458467692165153","0.0906624466036642","1.39205652803007","SB01-SA01","Non significant","A0A2H1A7S6"
"A0A2H1A7S8","0.0440967646624097","0.270142566400374","0.917855244920071","SB01-SA01","Non significant","A0A2H1A7S8"
"A0A2H1A808","0.88347607469036","0.982151776978653","-0.0963300485859104","SB01-SA01","Non significant","A0A2H1A808"
"A0A2H1A809","0.59690286568571","0.913315441546089","-0.222517765244568","SB01-SA01","Non significant","A0A2H1A809"
"A0A2H1A811","0.471747594474677","0.847421265102898","0.376111382806034","SB01-SA01","Non significant","A0A2H1A811"
"A0A2H1A815","0.899460292405774","0.985623544715673","-0.0516782790318722","SB01-SA01","Non significant","A0A2H1A815"
"A0A2H1A8E8","0.519214113564436","0.868236323160609","0.249212816736488","SB01-SA01","Non significant","A0A2H1A8E8"
"A0A2H1A8K2","0.541514327682721","0.878789687485109","-0.232496817481422","SB01-SA01","Non significant","A0A2H1A8K2"
"A0A2H1A8Q9","0.482799818648554","0.851252311827714","0.247322287964643","SB01-SA01","Non significant","A0A2H1A8Q9"
"A0A2H1A8V8","0.813388972345526","0.970864101882147","-0.0673115502053783","SB01-SA01","Non significant","A0A2H1A8V8"
"A0A2H1A8X8","0.914838833091362","0.988088124466984","-0.064119670460169","SB01-SA01","Non significant","A0A2H1A8X8"
"A0A2H1A8Z7","0.000368673332781332","0.0432269482686111","-0.847490742917303","SB01-SA01","Non significant","A0A2H1A8Z7"
"A0A2H1A937","0.0421943175669495","0.267420742417558","-0.594476003533554","SB01-SA01","Non significant","A0A2H1A937"
"A0A2H1A991","0.662382023171161","0.930789426764152","0.148381314442947","SB01-SA01","Non significant","A0A2H1A991"
"A0A2H1A9B9","0.601553199948742","0.913315441546089","0.167947728305222","SB01-SA01","Non significant","A0A2H1A9B9"
